request_id,priority_score,matched_donors
R001,45,"[{'donor_id': 'D007', 'donor_name': 'Global Relief', 'rank_score': 46.37270059423681}, {'donor_id': 'D027', 'donor_name': 'GTBank Foundation', 'rank_score': 36.493292420985185}, {'donor_id': 'D017', 'donor_name': 'Save the Children', 'rank_score': 24.75357153204958}, {'donor_id': 'D037', 'donor_name': 'MTN Foundation', 'rank_score': 23.279972601681013}, {'donor_id': 'D031', 'donor_name': 'Tony Elumelu Foundation', 'rank_score': 6.280093202212183}, {'donor_id': 'D021', 'donor_name': 'EcoBank Foundation', 'rank_score': 0.0}]"
R017,45,"[{'donor_id': 'D010', 'donor_name': 'Community Givers', 'rank_score': 44.330880728874675}, {'donor_id': 'D029', 'donor_name': 'Ganaja Medical Clinic', 'rank_score': 21.540362888980226}, {'donor_id': 'D039', 'donor_name': 'City Hope Laboratory', 'rank_score': 16.102922471479012}, {'donor_id': 'D019', 'donor_name': 'Salvation Army', 'rank_score': 9.505575058716044}, {'donor_id': 'D009', 'donor_name': 'MedAssist', 'rank_score': 0.0}]"
R035,45,"[{'donor_id': 'D010', 'donor_name': 'Community Givers', 'rank_score': 29.162213204002107}, {'donor_id': 'D029', 'donor_name': 'Ganaja Medical Clinic', 'rank_score': 3.9091248360355033}, {'donor_id': 'D039', 'donor_name': 'City Hope Laboratory', 'rank_score': 1.917022549267169}, {'donor_id': 'D009', 'donor_name': 'MedAssist', 'rank_score': 0.0}, {'donor_id': 'D019', 'donor_name': 'Salvation Army', 'rank_score': 0.0}]"
R033,45,"[{'donor_id': 'D007', 'donor_name': 'Global Relief', 'rank_score': 31.021211214797688}, {'donor_id': 'D027', 'donor_name': 'GTBank Foundation', 'rank_score': 19.95614570099021}, {'donor_id': 'D037', 'donor_name': 'MTN Foundation', 'rank_score': 8.19746930326021}, {'donor_id': 'D017', 'donor_name': 'Save the Children', 'rank_score': 7.623782158161189}, {'donor_id': 'D021', 'donor_name': 'EcoBank Foundation', 'rank_score': 0.0}, {'donor_id': 'D031', 'donor_name': 'Tony Elumelu Foundation', 'rank_score': 0.0}]"
R031,45,"[{'donor_id': 'D014', 'donor_name': 'Fidelity Company', 'rank_score': 22.831809216468457}, {'donor_id': 'D007', 'donor_name': 'Global Relief', 'rank_score': 15.96072324267609}, {'donor_id': 'D027', 'donor_name': 'GTBank Foundation', 'rank_score': 4.498368910791799}, {'donor_id': 'D017', 'donor_name': 'Save the Children', 'rank_score': 0.0}, {'donor_id': 'D021', 'donor_name': 'EcoBank Foundation', 'rank_score': 0.0}, {'donor_id': 'D031', 'donor_name': 'Tony Elumelu Foundation', 'rank_score': 0.0}, {'donor_id': 'D037', 'donor_name': 'MTN Foundation', 'rank_score': 0.0}]"
R029,45,"[{'donor_id': 'D010', 'donor_name': 'Community Givers', 'rank_score': 13.037724259507192}, {'donor_id': 'D009', 'donor_name': 'MedAssist', 'rank_score': 0.0}, {'donor_id': 'D019', 'donor_name': 'Salvation Army', 'rank_score': 0.0}, {'donor_id': 'D029', 'donor_name': 'Ganaja Medical Clinic', 'rank_score': 0.0}, {'donor_id': 'D039', 'donor_name': 'City Hope Laboratory', 'rank_score': 0.0}]"
R027,45,"[{'donor_id': 'D007', 'donor_name': 'Global Relief', 'rank_score': 4.328160165372797}, {'donor_id': 'D017', 'donor_name': 'Save the Children', 'rank_score': 0.0}, {'donor_id': 'D021', 'donor_name': 'EcoBank Foundation', 'rank_score': 0.0}, {'donor_id': 'D027', 'donor_name': 'GTBank Foundation', 'rank_score': 0.0}, {'donor_id': 'D031', 'donor_name': 'Tony Elumelu Foundation', 'rank_score': 0.0}, {'donor_id': 'D037', 'donor_name': 'MTN Foundation', 'rank_score': 0.0}]"
R025,45,"[{'donor_id': 'D014', 'donor_name': 'Fidelity Company', 'rank_score': 8.475884550556351}]"
R023,45,"[{'donor_id': 'D009', 'donor_name': 'MedAssist', 'rank_score': 0.0}, {'donor_id': 'D010', 'donor_name': 'Community Givers', 'rank_score': 0.0}, {'donor_id': 'D019', 'donor_name': 'Salvation Army', 'rank_score': 0.0}, {'donor_id': 'D029', 'donor_name': 'Ganaja Medical Clinic', 'rank_score': 0.0}, {'donor_id': 'D039', 'donor_name': 'City Hope Laboratory', 'rank_score': 0.0}]"
R019,45,"[{'donor_id': 'D014', 'donor_name': 'Fidelity Company', 'rank_score': 0.0}]"
R021,45,"[{'donor_id': 'D014', 'donor_name': 'Fidelity Company', 'rank_score': 0.0}]"
R007,45,[]
R009,45,[]
R012,45,[]
R003,45,[]
R005,35,[]
R015,30,"[{'donor_id': 'D001', 'donor_name': 'Helping Hands Foundation', 'rank_score': 38.46897798182195}, {'donor_id': 'D016', 'donor_name': 'ActionAid', 'rank_score': 2.1136641469099704}, {'donor_id': 'D026', 'donor_name': 'Redeemed Christian Church of God', 'rank_score': 0.0}, {'donor_id': 'D036', 'donor_name': ""Okoya's Foundation"", 'rank_score': 0.0}]"
R039,30,"[{'donor_id': 'D001', 'donor_name': 'Helping Hands Foundation', 'rank_score': 21.539457134966522}, {'donor_id': 'D016', 'donor_name': 'ActionAid', 'rank_score': 0.0}, {'donor_id': 'D026', 'donor_name': 'Redeemed Christian Church of God', 'rank_score': 0.0}, {'donor_id': 'D036', 'donor_name': ""Okoya's Foundation"", 'rank_score': 0.0}]"
R037,30,"[{'donor_id': 'D001', 'donor_name': 'Helping Hands Foundation', 'rank_score': 8.542853455823515}, {'donor_id': 'D016', 'donor_name': 'ActionAid', 'rank_score': 0.0}, {'donor_id': 'D026', 'donor_name': 'Redeemed Christian Church of God', 'rank_score': 0.0}, {'donor_id': 'D036', 'donor_name': ""Okoya's Foundation"", 'rank_score': 0.0}]"
R040,20,[]
R013,15,"[{'donor_id': 'D001', 'donor_name': 'Helping Hands Foundation', 'rank_score': 0.0}, {'donor_id': 'D016', 'donor_name': 'ActionAid', 'rank_score': 0.0}, {'donor_id': 'D026', 'donor_name': 'Redeemed Christian Church of God', 'rank_score': 0.0}, {'donor_id': 'D036', 'donor_name': ""Okoya's Foundation"", 'rank_score': 0.0}]"
R004,15,"[{'donor_id': 'D020', 'donor_name': 'World Baptist Alliance', 'rank_score': 16.696711209578254}, {'donor_id': 'D034', 'donor_name': 'Methodist Church Nigeria', 'rank_score': 13.59001737485932}, {'donor_id': 'D024', 'donor_name': 'Folorunso Alakija', 'rank_score': 12.537200775820313}, {'donor_id': 'D004', 'donor_name': 'Adams Stitches', 'rank_score': 6.462794992449889}, {'donor_id': 'D030', 'donor_name': 'Zara Clothings', 'rank_score': 0.9804564996174658}]"
R006,10,"[{'donor_id': 'D022', 'donor_name': 'Zenith Bank Foundation', 'rank_score': 30.139675812709708}, {'donor_id': 'D013', 'donor_name': 'School Supporters', 'rank_score': 27.550259622638382}]"
R016,10,"[{'donor_id': 'D022', 'donor_name': 'Zenith Bank Foundation', 'rank_score': 18.090073829612464}, {'donor_id': 'D013', 'donor_name': 'School Supporters', 'rank_score': 14.135538943131282}]"
R011,10,"[{'donor_id': 'D004', 'donor_name': 'Adams Stitches', 'rank_score': 0.0}, {'donor_id': 'D020', 'donor_name': 'World Baptist Alliance', 'rank_score': 0.0}, {'donor_id': 'D024', 'donor_name': 'Folorunso Alakija', 'rank_score': 0.0}, {'donor_id': 'D030', 'donor_name': 'Zara Clothings', 'rank_score': 0.0}, {'donor_id': 'D034', 'donor_name': 'Methodist Church Nigeria', 'rank_score': 0.0}]"
R034,10,"[{'donor_id': 'D023', 'donor_name': 'Aliko Dangote', 'rank_score': 30.214548519562598}, {'donor_id': 'D033', 'donor_name': 'Zephaniah Furnitures', 'rank_score': 29.116014660103776}, {'donor_id': 'D011', 'donor_name': 'Chuks Enterprises', 'rank_score': 16.68807585701814}, {'donor_id': 'D008', 'donor_name': 'Noble Path ', 'rank_score': 8.099326836668414}, {'donor_id': 'D040', 'donor_name': 'Olusegun Obasanjo', 'rank_score': 4.09395310871683}]"
R022,10,"[{'donor_id': 'D022', 'donor_name': 'Zenith Bank Foundation', 'rank_score': 0.8181480118964699}, {'donor_id': 'D013', 'donor_name': 'School Supporters', 'rank_score': 0.515094794475889}]"
R028,10,"[{'donor_id': 'D013', 'donor_name': 'School Supporters', 'rank_score': 0.0}, {'donor_id': 'D022', 'donor_name': 'Zenith Bank Foundation', 'rank_score': 0.0}]"
R030,5,"[{'donor_id': 'D004', 'donor_name': 'Adams Stitches', 'rank_score': 0.0}, {'donor_id': 'D020', 'donor_name': 'World Baptist Alliance', 'rank_score': 0.0}, {'donor_id': 'D024', 'donor_name': 'Folorunso Alakija', 'rank_score': 0.0}, {'donor_id': 'D030', 'donor_name': 'Zara Clothings', 'rank_score': 0.0}, {'donor_id': 'D034', 'donor_name': 'Methodist Church Nigeria', 'rank_score': 0.0}]"
R014,5,[]
R002,5,[]
R036,5,"[{'donor_id': 'D004', 'donor_name': 'Adams Stitches', 'rank_score': 0.0}, {'donor_id': 'D020', 'donor_name': 'World Baptist Alliance', 'rank_score': 0.0}, {'donor_id': 'D024', 'donor_name': 'Folorunso Alakija', 'rank_score': 0.0}, {'donor_id': 'D030', 'donor_name': 'Zara Clothings', 'rank_score': 0.0}, {'donor_id': 'D034', 'donor_name': 'Methodist Church Nigeria', 'rank_score': 0.0}]"
R024,5,[]
R010,0,"[{'donor_id': 'D033', 'donor_name': 'Zephaniah Furnitures', 'rank_score': 15.178873420373792}, {'donor_id': 'D023', 'donor_name': 'Aliko Dangote', 'rank_score': 13.667648553804474}, {'donor_id': 'D011', 'donor_name': 'Chuks Enterprises', 'rank_score': 3.1615291529678973}, {'donor_id': 'D008', 'donor_name': 'Noble Path ', 'rank_score': 0.0}, {'donor_id': 'D040', 'donor_name': 'Olusegun Obasanjo', 'rank_score': 0.0}]"
R032,0,[]
R026,0,[]
R018,0,[]
R038,0,[]
R020,0,"[{'donor_id': 'D033', 'donor_name': 'Zephaniah Furnitures', 'rank_score': 0.799920230170895}, {'donor_id': 'D008', 'donor_name': 'Noble Path ', 'rank_score': 0.0}, {'donor_id': 'D011', 'donor_name': 'Chuks Enterprises', 'rank_score': 0.0}, {'donor_id': 'D023', 'donor_name': 'Aliko Dangote', 'rank_score': 0.0}, {'donor_id': 'D040', 'donor_name': 'Olusegun Obasanjo', 'rank_score': 0.0}]"
