donation_id,request_id,donor_id,amount,status,date
DN001,R001,D001,50000,Completed,3/10/2026
DN002,R002,D002,20000,Completed,3/11/2026
DN003,R003,D003,15000,Pending,3/12/2026
DN004,R004,D004,18000,Completed,3/13/2026
DN005,R005,D005,30000,Completed,3/14/2026
DN006,R006,D002,22000,Pending,3/15/2026
DN007,R007,D005,40000,Completed,3/16/2026
DN008,R008,D003,20000,Completed,3/17/2026
DN009,R009,D001,35000,Completed,3/18/2026
DN010,R010,D006,10000,Pending,3/19/2026
DN011,R011,D008,25000,Completed,3/20/2026
DN012,R012,D010,27000,Completed,3/21/2026
DN013,R013,D015,32000,Pending,3/22/2026
DN014,R014,D009,15000,Completed,3/23/2026
DN015,R015,D007,45000,Completed,3/24/2026
DN016,R016,D012,20000,Pending,3/25/2026
DN017,R017,D003,16000,Completed,3/26/2026
DN018,R018,D004,28000,Completed,27-Mar
DN019,R019,D005,31000,Pending,3/28/2026
DN020,R020,D006,22000,Completed,3/29/2026
DN021,R021,D011,38000,Completed,3/30/2026
DN022,R022,D018,19000,Pending,3/31/2026
DN023,R023,D013,14000,Completed,4/1/2026
DN024,R024,D014,26000,Completed,4/2/2026
DN025,R025,D025,30000,Pending,4/3/2026
DN026,R026,D016,17000,Completed,4/4/2026
DN027,R027,D017,42000,Completed,4/5/2026
DN028,R028,D028,21000,Pending,4/6/2026
DN029,R029,D019,13000,Completed,4/7/2026
DN030,R030,D020,29000,Completed,4/8/2026
DN031,R031,D035,33000,Pending,4/9/2026
DN032,R032,D026,24000,Completed,4/10/2026
DN033,R033,D021,37000,Completed,4/11/2026
DN034,R034,D032,18000,Pending,4/12/2026
DN035,R035,D023,15500,Completed,4/13/2026
DN036,R036,D024,27500,Completed,4/14/2026
DN037,R037,D035,31000,Pending,4/15/2026
DN038,R038,D026,20000,Completed,4/16/2026
DN039,R039,D027,46000,Completed,4/17/2026
DN040,R040,D038,23000,Pending,4/18/2026
