facility_id,facility _name,location,capacity,last_support_date
F001,Hope Orphanage,Lagos,80,3/15/2026
F002,Sunshine Home,Ibadan,60,3/20/2026
F003,Grace Shelter Home,Lagos,50,3/10/2026
F004,Peace Haven,Ibadan,70,3/18/2026
F005,Future Kids Home,Ibadan,90,3/12/2026
F006,Joy Center,Lagos,55,3/22/2026
F007,Mother &  Child Home,Lagos,65,3/11/2026
F008,Bethel Orphanage Home,Ibadan,75,3/14/2026
F009,Destiny Child Orphanage,Lagos,60,3/16/2026
F010,Living Hope Children's Home,Ibadan,70,3/19/2026
F011,Grace Foundation Orphanage,Lagos,85,3/21/2026
F012,Faraja Orphanage,Ibadan,55,3/23/2026
F013,SOS Children's Village,Lagos,68,3/24/2026
F014,Hands of Mercy Home,Ibadan,72,3/25/2026
F015,Heaven's Gate Orphanage,Lagos,58,3/26/2026
F016,Rapha Children's Home,Ibadan,66,3/27/2026
F017,Nazareth House,Lagos,88,3/28/2026
F018,Sunfield Children's Home,Ibadan,53,3/29/2026
F019,New Life Children's Home,Lagos,77,3/30/2026
F020,St. Francis Children's Home,Lagos,69,3/31/2026
F021,Hope for Children Orphanage,Ibadan,61,4/1/2026
F022,Mother's Touch Orphanage,Ibadan,74,4/2/2026
F023,Amaka Children's Home,Lagos,82,4/3/2026
F024,St. John's Children Home,Lagos,57,4/4/2026
F025,Bright Future Orphanage,Lagos,79,4/5/2026
F026,St.Mary's Orphanage,Ibadan,63,4/6/2026
F027,Fountain of Hope,Ibadan,59,4/7/2026
F028,Awada Orphanage,Ibadan,71,4/8/2026
F029,Alvan Mother Care,Ibadan,86,4/9/2026
F030,Guje Children's Home,Lagos,54,4/10/2026
F031,Pearl of Hope Home,Lagos,81,4/11/2026
F032,Child Care Center,Ibadan,67,4/12/2026
F033,Happy Child Home,Lagos,62,4/13/2026
F034,Favour Orphanage,Ibadan,73,4/14/2026
F035,Heartland Orphanage Home,Lagos,84,4/15/2026
F036,Red Cross Orpahange,Lagos,56,4/16/2026
F037,St. Paul's Home,Lagos,78,4/17/2026
F038,Lady Juliana Orphanage,Ibadan,64,4/18/2026
F039,Peace Child Center,Lagos,60,4/19/2026
F040,Awolowo Orphanage,Ibadan,72,4/20/2026
